location_id,index,KLADR,FIAS,OKATO,OKTMO,IFNS,timezone,latitude,longitude,population
1450,361110,0700400100000,e9f48c52-6cc4-47d9-ba6d-e7b12e8e0871,83220501000,83620101,0716,UTC+3,43.6281779,44.0516663,26755
1452,361040,0700000200000,22973a33-7a1c-449d-9535-def88bd91ed3,83410000000,83710000,0716,UTC+3,43.7589521,44.0101936,59595
1453,361500,0700000300000,67851dfd-e142-451a-b6b1-ea5e9bc7f0c1,83403000000,83703000,0718,UTC+3,43.6820621,43.5345627,36857
1456,361330,0700700100000,cb0f531d-4831-41c0-a859-3ad1f2e0f70b,83240501000,83640101,0724,UTC+3,43.5577208,43.8576411,31679
1458,361200,0700600100000,9886a048-8715-4526-80b1-2f0fd8dd7bdf,83235501000,83635101,0724,UTC+3,43.4838439,44.1402524,19170
1460,361400,0700800100000,17bfd906-04ef-45f2-abbb-fcf801d0ba84,83245501000,83645101,0724,UTC+3,43.5672039,43.5865338,17988
1462,361621,0701000100000,e0ee885d-786e-457e-9568-2def04ee83b0,83248501000,83648101,0720,UTC+3,43.3981939,42.9215127,21000
1466,363240,1500200100000,e6dcf985-09c1-4ede-ba3d-de714f0a5787,90205501000,90605101,1514,UTC+3,43.0416151,44.2198622,20949
1467,362000,1500000100000,20ea2341-4f49-4c5c-a9dc-a54688c8cc61,90401000000,90701000,1513,UTC+3,43.0205039,44.6819383,311635
1469,363410,1500400100000,aa883f13-ea3c-4b7f-9f3c-309a2b38db04,90215501000,90615101001,1514,UTC+3,43.1567386,44.1551132,10856
1471,363750,1500700100000,654ce513-3c99-414d-88b8-846097cc9ae3,90230501000,90630101001,1500,UTC+3,43.7471209,44.6571456,38748
1473,363330,1500300100000,fc26547e-11ce-464b-b4f2-96b37df6f23f,90210501000,90610101,1514,UTC+3,43.1756719,44.2955701,18774
1478,363020,1500800100000,cbf3eb9d-f86c-4dbb-ba9e-f9f6521b096f,90235501000,90635101,1511,UTC+3,43.1937634,44.5338746,36724
1479,355000,2600000100000,2a1c7bdb-05ea-492f-9e1c-b3999f79dcbc,07401000000,07701000,2600,UTC+3,45.0445439,41.9690168,398266
1480,357600,2600000200000,0ca8280c-89cb-4c81-8a99-ae10a98416bc,07410000000,07710000,2650,UTC+3,44.044461,42.8589078,100969
1481,357700,2600000400000,82551e9e-14a4-4414-ad60-6cc944763ff3,07415000000,07715000,2628,UTC+3,43.905235,42.7167187,128502
1482,357400,2600000300000,f231a6e9-5631-44a6-80bf-585e9491165e,07412000000,07712000,2649,UTC+3,44.1320689,43.0306475,24496
1483,357100,2600000600000,ff894fb7-acb4-4edf-bb48-c5349d89579b,07424000000,07724000,2600,UTC+3,44.6227404,41.9476147,118351
1484,357500,2600000700000,9b0efbd0-22bb-400d-86db-ddc69b9939d9,07427000000,07727000,2600,UTC+3,44.0411669,43.0661091,142397
1485,357340,2600000500000,3808db7f-f793-40d0-ad74-691c158bc2de,07418000000,07718000001,2649,UTC+3,44.1052526,42.9731433,22540
1486,357820,2600000900000,ea88bcba-c562-438a-9115-8b32426b0c8e,07407000000,07707000,2625,UTC+3,44.1486421,43.4739718,72126
1492,356420,2600600100000,0e527607-a1cd-462c-9b85-f33ddea64ad0,07210501000,07610101,2646,UTC+3,45.0990834,43.4307042,32736
1494,356800,2600700100000,bcca8fda-282d-4a90-9303-7a37a8197242,07402000000,07612101,2646,UTC+3,44.7814437,44.1650859,64628
1498,356630,2601100100000,589a16ac-fb2e-46f9-b59a-98c18d34d908,07222501000,07622101001,2643,UTC+3,45.7181897,42.8969695,26055
1500,356140,2601000100000,82d67979-76e6-4c48-b5b0-18c0b969114c,07220501000,07620101,2644,UTC+3,45.3684342,41.7086448,40546
1502,357300,2601200100000,d72c4e6c-59e6-4c02-9372-61f980f79cbd,07225501000,07625101,2641,UTC+3,43.9617565,43.6342855,26556
1510,356880,2601800100000,47a5b97a-5cc1-4fa4-893f-0041590dd823,07241501000,07641101,2646,UTC+3,44.7544866,44.9865041,27700
1512,356000,2601900100000,a0194045-d9a6-4593-9502-133cae983a3f,07243501000,07643101,2600,UTC+3,45.4933561,41.2154482,26759
1516,356530,2602100100000,019979ae-6056-4ed8-98ef-48bded318dd2,07246501000,07646101001,2643,UTC+3,45.3284769,42.8566923,38520
1519,357910,2602300100000,dcfa008b-e058-4be1-a409-18fc2b2e570f,07250501000,07650101,2600,UTC+3,44.403359,43.8841326,35790
1523,623080,6601700200000,177c10d7-f36f-449e-a94b-5f7f45a0dbc8,65228504000,65628104,6619,UTC+5,56.4369736,59.113865,9215
1524,386001,0600000100000,c801edb4-aba2-4e1d-9ab2-69fcbf0aeb9c,26401000000,26701000001,0608,UTC+3,43.1686967,44.8130849,2505
1525,386100,0600000300000,815566a1-04ea-44a9-b34b-25b70ac9aa9a,26406000000,26706000001,0608,UTC+3,43.2257977,44.764685,93357
1526,386230,0600000200000,2c33c72e-642b-4a7e-afe5-982f5adf6b17,26408000000,26710000001,0603,UTC+3,43.3054762,44.9094521,31081
1527,386300,0600000400000,5c318987-0763-4822-9c57-0d55e40fb9d7,26405000000,26715000001,0601,UTC+3,43.5097009,44.5901517,31076
1532,369000,0900000100000,2a4a7c93-f3f8-4042-8cbf-e04ab64f5e08,91401000000,91701000,0917,UTC+3,44.2268637,42.0467829,121439
1533,369200,0900000200000,cb390fbd-3149-4ac9-b9fb-6af069d51b71,91405000000,91705000,0916,UTC+3,43.773197,41.9143726,23848
1535,369210,0900000300000,2edbb310-a924-44a8-a6d0-c9b825214fcf,91405000000,91705000,0916,UTC+3,43.4438408,41.7414924,9097
1540,369300,0900800100000,5de40749-195c-445b-b65a-fd1c397d1440,91235501000,91635101,0916,UTC+3,44.083852,41.971128,30602
1546,364000,2000000100000,a2072dc5-45be-4db3-ab13-10784ba8b2ae,96401360000,96701000,2000,UTC+3,43.3179243,45.6981102,271596
1550,,2000000200000,3672454d-2697-4ce1-9666-cc9c744ba5c5,96402000000,96702000,2034,UTC+3,43.2918071,45.8724383,29528
1552,366200,2000500100000,ab370c6d-8fd0-4e6b-9491-d83daaa829c9,96404000000,96610101001,2032,UTC+3,43.3519164,46.1036052,45643
1556,366500,2001000000100,eb208b95-1f50-4290-a9c9-46909aea49a0,96234501000,96634000,2033,UTC+3,43.1276072,45.5406838,49071
1560,366300,2001200100000,f206e5a7-d074-44cf-a0f3-a9ca855969d2,96237501000,96637101001,2000,UTC+3,43.148776,45.9009577,47715
1566,430000,1300000100000,1ccfdc3c-be0f-4e42-ab4d-98f90de972d9,89401000000,89701000,1300,UTC+3,54.1807601,45.1862263,297425
1570,431860,1300200100000,edab359e-50ac-422a-9117-78ce44b6f758,89203501000,89603101001,1322,UTC+3,54.8465693,46.2412736,9400
1579,431430,1301000100000,e5473064-cb2e-4da5-aa2b-42599c031705,89224501000,89624101001,1323,UTC+3,53.8770384,44.3696866,8687
1585,404160,3402800200000,68e32d89-51bb-4030-b697-ceca53b9e740,18251507000,18651107001,3454,UTC+3,48.7068777,44.5631799,16007
1591,431220,1302000100000,7a57dd0c-5b64-480e-8369-3e22261e2bf0,89249501000,89649101001,1314,UTC+3,54.6309086,43.2161785,7247
1595,420000,1600000100000,93b3df57-4c89-44df-ac42-96f05e9cd3b9,92401000000,92701000,1600,UTC+3,55.7943877,49.1115312,1216965
